dicoding-a433-microservices-item-app-1  | 2023-09-20T14:55:52.786380754Z 
dicoding-a433-microservices-item-app-1  | 2023-09-20T14:55:52.786922809Z > docker-software-delivery@1.0.0 start /app
dicoding-a433-microservices-item-app-1  | 2023-09-20T14:55:52.786946217Z > node ./bin/www
dicoding-a433-microservices-item-app-1  | 2023-09-20T14:55:52.786953909Z 
dicoding-a433-microservices-item-app-1  | 2023-09-20T14:55:57.390361662Z NODE_ENV: production
dicoding-a433-microservices-item-app-1  | 2023-09-20T14:55:57.760898587Z Connected to database
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.602913301Z 2023-09-20T14:55:50.586+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=8e3e1b26a44e
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603006497Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten] db version v3.6.23
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603027002Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603044161Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603059646Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten] allocator: tcmalloc
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603070702Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten] modules: none
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603088183Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten] build environment:
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603108382Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603125697Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten]     distarch: x86_64
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603145841Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten]     target_arch: x86_64
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.603281322Z 2023-09-20T14:55:50.602+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.607480753Z 2023-09-20T14:55:50.606+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
dicoding-a433-microservices-item-db-1   | 2023-09-20T14:55:50.607756000Z 2023-09-20T14:55:50.606+0000 I STORAGE  [initandlisten] 
